"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","FirstFlrSF","SecondFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1,60,"RL",65,8450,"Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","3","4","4","3",706,"6",0,150,856,"GasA","Ex","Y","SBrkr",856,854,0,1710,"1","0","2","1","3","1","Gd",8,"Typ","0","NoFire","2",2003,"2","2",548,"5","5","Y",0,61,0,0,0,0,"NoPool","NoFence","None",0,2,"2008","WD","Normal",12.247694320221
2,20,"RL",80,9600,"Pave","NoAlley","Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","3","4","2","1",978,"6",0,284,1262,"GasA","Ex","Y","SBrkr",1262,0,0,1262,"0","1","2","0","3","1","TA",6,"Typ","1","5","2",1976,"2","2",460,"5","5","Y",298,0,0,0,0,0,"NoPool","NoFence","None",0,5,"2007","WD","Normal",12.109010932687
3,60,"RL",68,11250,"Pave","NoAlley","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","3","4","3","3",486,"6",0,434,920,"GasA","Ex","Y","SBrkr",920,866,0,1786,"1","0","2","1","3","1","Gd",6,"Typ","1","5","2",2001,"2","2",608,"5","5","Y",0,42,0,0,0,0,"NoPool","NoFence","None",0,9,"2008","WD","Normal",12.3171666930358
4,70,"RL",60,9550,"Pave","NoAlley","IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","4","2","4","1",216,"6",0,540,756,"GasA","Gd","Y","SBrkr",961,756,0,1717,"1","0","1","0","3","1","Gd",7,"Typ","1","3","6",1998,"3","3",642,"5","5","Y",0,35,272,0,0,0,"NoPool","NoFence","None",0,2,"2006","WD","Abnorml",11.8493977015914
5,60,"RL",84,14260,"Pave","NoAlley","IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","3","4","1","3",655,"6",0,490,1145,"GasA","Ex","Y","SBrkr",1145,1053,0,2198,"1","0","2","1","4","1","Gd",9,"Typ","1","5","2",2000,"2","3",836,"5","5","Y",192,84,0,0,0,0,"NoPool","NoFence","None",0,12,"2008","WD","Normal",12.4292161968444
6,50,"RL",85,14115,"Pave","NoAlley","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Wood","3","4","4","3",732,"6",0,64,796,"GasA","Ex","Y","SBrkr",796,566,0,1362,"1","0","1","1","1","1","TA",5,"Typ","0","NoFire","2",1993,"3","2",480,"5","5","Y",40,30,0,320,0,0,"NoPool","3","3",700,10,"2009","WD","Normal",11.870599909242
7,20,"RL",75,10084,"Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","1","4","1","3",1369,"6",0,317,1686,"GasA","Ex","Y","SBrkr",1694,0,0,1694,"1","0","2","0","3","1","Gd",7,"Typ","1","3","2",2004,"2","2",636,"5","5","Y",255,57,0,0,0,0,"NoPool","NoFence","None",0,8,"2007","WD","Normal",12.6346030265693
8,60,"RL",0,10382,"Pave","NoAlley","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","3","4","3","1",859,"2",32,216,1107,"GasA","Ex","Y","SBrkr",1107,983,0,2090,"1","0","2","1","3","1","TA",7,"Typ","2","5","2",1973,"2","2",484,"5","5","Y",235,204,228,0,0,0,"NoPool","NoFence","3",350,11,"2009","WD","Normal",12.2060726455302
9,50,"RM",51,6120,"Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","4","4","4","6",0,"6",0,952,952,"GasA","Gd","Y","FuseF",1022,752,0,1774,"0","0","2","0","2","2","TA",8,"Min1","2","5","6",1931,"3","2",468,"2","5","Y",90,0,205,0,0,0,"NoPool","NoFence","None",0,4,"2008","WD","Abnorml",11.7745202026587
10,190,"RL",50,7420,"Pave","NoAlley","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","4","4","4","3",851,"6",0,140,991,"GasA","Ex","Y","SBrkr",1077,0,0,1077,"1","0","1","0","2","2","TA",5,"Typ","2","5","2",1939,"2","1",205,"3","5","Y",0,4,0,0,0,0,"NoPool","NoFence","None",0,1,"2008","WD","Normal",11.6784399034478
11,20,"RL",70,11200,"Pave","NoAlley","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","4","4","4","5",906,"6",0,134,1040,"GasA","Ex","Y","SBrkr",1040,0,0,1040,"1","0","1","0","3","1","TA",5,"Typ","0","NoFire","6",1965,"3","1",384,"5","5","Y",0,0,0,0,0,0,"NoPool","NoFence","None",0,2,"2008","WD","Normal",11.7714361601217
